room_id,account_id,author,sent_at,body
1001,101,佐藤,2023-05-10T09:00:00+09:00,星野商事との初回相談です。希望納期は6月30日です。
1001,102,田中,2023-05-10T09:15:00+09:00,部材調達の遅れがあり、納期を7月15日に変更する案を提案します。
1001,101,佐藤,2023-05-11T10:00:00+09:00,星野商事と合意しました。納期は7月15日、分納なしで契約を更新します。
1001,102,田中,2024-03-01T13:00:00+09:00,支払条件は月末締め、翌月末払いです。
1002,201,鈴木,2024-06-12T11:00:00+09:00,検索APIは、検索前に現在参加しているルームで対象を制限します。
1002,202,高橋,2024-06-12T11:10:00+09:00,本文の直接取得でも同じ認可が必要です。退室後はIDを知っていても取得を拒否します。
1003,301,総務,2025-04-01T09:00:00+09:00,社内文書を参照する際は根拠と更新日を確認してください。
1004,201,鈴木,2025-08-20T10:00:00+09:00,開発内部予算は850万円です。営業への共有対象ではありません。
9001,101,佐藤,2025-08-20T10:00:00+09:00,ダイレクトチャットの除外確認用データ。
9002,101,佐藤,2025-08-20T10:00:00+09:00,マイチャットの除外確認用データ。
9003,101,佐藤,2025-08-20T10:00:00+09:00,未承認グループの除外確認用データ。
